id,url,name,evolutions,altura,peso,types,types_defenses
1,'/pokedex/bulbasaur','Bulbasaur',"[{'id': '0001', 'name': 'Bulbasaur', 'url': '/pokedex/bulbasaur'}, {'id': '0002', 'name': 'Ivysaur', 'url': '/pokedex/ivysaur', 'level': '16'}, {'id': '0003', 'name': 'Venusaur', 'url': '/pokedex/venusaur', 'level': '32'}]",70.0 cm,6.9 kg,"Grass, Poison","[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '2'}, {'type_against': 'Water', 'defense': '½'}, {'type_against': 'Electric', 'defense': '½'}, {'type_against': 'Grass', 'defense': '¼'}, {'type_against': 'Ice', 'defense': '2'}, {'type_against': 'Fighting', 'defense': '½'}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': 1}, {'type_against': 'Flying', 'defense': '2'}, {'type_against': 'Psychic', 'defense': '2'}, {'type_against': 'Bug', 'defense': 1}, {'type_against': 'Rock', 'defense': 1}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': 1}, {'type_against': 'Fairy', 'defense': '½'}]"
9,'/pokedex/blastoise','Blastoise',"[{'id': '0007', 'name': 'Squirtle', 'url': '/pokedex/squirtle'}, {'id': '0008', 'name': 'Wartortle', 'url': '/pokedex/wartortle', 'level': '16'}, {'id': '0009', 'name': 'Blastoise', 'url': '/pokedex/blastoise', 'level': '36'}]",160.0 cm,101.1 kg,Water,"[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '½'}, {'type_against': 'Water', 'defense': '½'}, {'type_against': 'Electric', 'defense': '2'}, {'type_against': 'Grass', 'defense': '2'}, {'type_against': 'Ice', 'defense': '½'}, {'type_against': 'Fighting', 'defense': 1}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': 1}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': 1}, {'type_against': 'Rock', 'defense': 1}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': '½'}, {'type_against': 'Fairy', 'defense': 1}, {'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '½'}, {'type_against': 'Water', 'defense': '½'}, {'type_against': 'Electric', 'defense': '2'}, {'type_against': 'Grass', 'defense': '2'}, {'type_against': 'Ice', 'defense': '½'}, {'type_against': 'Fighting', 'defense': 1}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': 1}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': 1}, {'type_against': 'Rock', 'defense': 1}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': '½'}, {'type_against': 'Fairy', 'defense': 1}]"
10,'/pokedex/caterpie','Caterpie',"[{'id': '0010', 'name': 'Caterpie', 'url': '/pokedex/caterpie'}, {'id': '0011', 'name': 'Metapod', 'url': '/pokedex/metapod', 'level': '7'}, {'id': '0012', 'name': 'Butterfree', 'url': '/pokedex/butterfree', 'level': '10'}]",30.0 cm,2.9 kg,Bug,"[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '2'}, {'type_against': 'Water', 'defense': 1}, {'type_against': 'Electric', 'defense': 1}, {'type_against': 'Grass', 'defense': '½'}, {'type_against': 'Ice', 'defense': 1}, {'type_against': 'Fighting', 'defense': '½'}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': '½'}, {'type_against': 'Flying', 'defense': '2'}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': 1}, {'type_against': 'Rock', 'defense': '2'}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': 1}, {'type_against': 'Fairy', 'defense': 1}]"
13,'/pokedex/weedle','Weedle',"[{'id': '0013', 'name': 'Weedle', 'url': '/pokedex/weedle'}, {'id': '0014', 'name': 'Kakuna', 'url': '/pokedex/kakuna', 'level': '7'}, {'id': '0015', 'name': 'Beedrill', 'url': '/pokedex/beedrill', 'level': '10'}]",30.0 cm,3.2 kg,"Bug, Poison","[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '2'}, {'type_against': 'Water', 'defense': 1}, {'type_against': 'Electric', 'defense': 1}, {'type_against': 'Grass', 'defense': '¼'}, {'type_against': 'Ice', 'defense': 1}, {'type_against': 'Fighting', 'defense': '¼'}, {'type_against': 'Poison', 'defense': '½'}, {'type_against': 'Ground', 'defense': 1}, {'type_against': 'Flying', 'defense': '2'}, {'type_against': 'Psychic', 'defense': '2'}, {'type_against': 'Bug', 'defense': '½'}, {'type_against': 'Rock', 'defense': '2'}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': 1}, {'type_against': 'Fairy', 'defense': '½'}]"
16,'/pokedex/pidgey','Pidgey',"[{'id': '0016', 'name': 'Pidgey', 'url': '/pokedex/pidgey'}, {'id': '0017', 'name': 'Pidgeotto', 'url': '/pokedex/pidgeotto', 'level': '18'}, {'id': '0018', 'name': 'Pidgeot', 'url': '/pokedex/pidgeot', 'level': '36'}]",30.0 cm,1.8 kg,"Normal, Flying","[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': 1}, {'type_against': 'Water', 'defense': 1}, {'type_against': 'Electric', 'defense': '2'}, {'type_against': 'Grass', 'defense': '½'}, {'type_against': 'Ice', 'defense': '2'}, {'type_against': 'Fighting', 'defense': 1}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': '0'}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': '½'}, {'type_against': 'Rock', 'defense': '2'}, {'type_against': 'Ghost', 'defense': '0'}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': 1}, {'type_against': 'Fairy', 'defense': 1}]"
12,'/pokedex/butterfree','Butterfree',"[{'id': '0010', 'name': 'Caterpie', 'url': '/pokedex/caterpie'}, {'id': '0011', 'name': 'Metapod', 'url': '/pokedex/metapod', 'level': '7'}, {'id': '0012', 'name': 'Butterfree', 'url': '/pokedex/butterfree', 'level': '10'}]",110.0 cm,32.0 kg,"Bug, Flying","[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '2'}, {'type_against': 'Water', 'defense': 1}, {'type_against': 'Electric', 'defense': '2'}, {'type_against': 'Grass', 'defense': '¼'}, {'type_against': 'Ice', 'defense': '2'}, {'type_against': 'Fighting', 'defense': '¼'}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': '0'}, {'type_against': 'Flying', 'defense': '2'}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': '½'}, {'type_against': 'Rock', 'defense': '4'}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': 1}, {'type_against': 'Fairy', 'defense': 1}]"
8,'/pokedex/wartortle','Wartortle',"[{'id': '0007', 'name': 'Squirtle', 'url': '/pokedex/squirtle'}, {'id': '0008', 'name': 'Wartortle', 'url': '/pokedex/wartortle', 'level': '16'}, {'id': '0009', 'name': 'Blastoise', 'url': '/pokedex/blastoise', 'level': '36'}]",100.0 cm,22.5 kg,Water,"[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '½'}, {'type_against': 'Water', 'defense': '½'}, {'type_against': 'Electric', 'defense': '2'}, {'type_against': 'Grass', 'defense': '2'}, {'type_against': 'Ice', 'defense': '½'}, {'type_against': 'Fighting', 'defense': 1}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': 1}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': 1}, {'type_against': 'Rock', 'defense': 1}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': '½'}, {'type_against': 'Fairy', 'defense': 1}]"
5,'/pokedex/charmeleon','Charmeleon',"[{'id': '0004', 'name': 'Charmander', 'url': '/pokedex/charmander'}, {'id': '0005', 'name': 'Charmeleon', 'url': '/pokedex/charmeleon', 'level': '16'}, {'id': '0006', 'name': 'Charizard', 'url': '/pokedex/charizard', 'level': '36'}]",110.0 cm,19.0 kg,Fire,"[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '½'}, {'type_against': 'Water', 'defense': '2'}, {'type_against': 'Electric', 'defense': 1}, {'type_against': 'Grass', 'defense': '½'}, {'type_against': 'Ice', 'defense': '½'}, {'type_against': 'Fighting', 'defense': 1}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': '2'}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': '½'}, {'type_against': 'Rock', 'defense': '2'}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': '½'}, {'type_against': 'Fairy', 'defense': '½'}]"
4,'/pokedex/charmander','Charmander',"[{'id': '0004', 'name': 'Charmander', 'url': '/pokedex/charmander'}, {'id': '0005', 'name': 'Charmeleon', 'url': '/pokedex/charmeleon', 'level': '16'}, {'id': '0006', 'name': 'Charizard', 'url': '/pokedex/charizard', 'level': '36'}]",60.0 cm,8.5 kg,Fire,"[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '½'}, {'type_against': 'Water', 'defense': '2'}, {'type_against': 'Electric', 'defense': 1}, {'type_against': 'Grass', 'defense': '½'}, {'type_against': 'Ice', 'defense': '½'}, {'type_against': 'Fighting', 'defense': 1}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': '2'}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': '½'}, {'type_against': 'Rock', 'defense': '2'}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': '½'}, {'type_against': 'Fairy', 'defense': '½'}]"
6,'/pokedex/charizard','Charizard',"[{'id': '0004', 'name': 'Charmander', 'url': '/pokedex/charmander'}, {'id': '0005', 'name': 'Charmeleon', 'url': '/pokedex/charmeleon', 'level': '16'}, {'id': '0006', 'name': 'Charizard', 'url': '/pokedex/charizard', 'level': '36'}]",170.0 cm,100.5 kg,"Fire, Flying","[{'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '½'}, {'type_against': 'Water', 'defense': '2'}, {'type_against': 'Electric', 'defense': '2'}, {'type_against': 'Grass', 'defense': '¼'}, {'type_against': 'Ice', 'defense': 1}, {'type_against': 'Fighting', 'defense': '½'}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': '0'}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': '¼'}, {'type_against': 'Rock', 'defense': '4'}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': '½'}, {'type_against': 'Fairy', 'defense': '½'}, {'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '¼'}, {'type_against': 'Water', 'defense': 1}, {'type_against': 'Electric', 'defense': '½'}, {'type_against': 'Grass', 'defense': '¼'}, {'type_against': 'Ice', 'defense': 1}, {'type_against': 'Fighting', 'defense': 1}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': '2'}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': '½'}, {'type_against': 'Rock', 'defense': '2'}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': '2'}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': '½'}, {'type_against': 'Fairy', 'defense': 1}, {'type_against': 'Normal', 'defense': 1}, {'type_against': 'Fire', 'defense': '½'}, {'type_against': 'Water', 'defense': '2'}, {'type_against': 'Electric', 'defense': '2'}, {'type_against': 'Grass', 'defense': '¼'}, {'type_against': 'Ice', 'defense': 1}, {'type_against': 'Fighting', 'defense': '½'}, {'type_against': 'Poison', 'defense': 1}, {'type_against': 'Ground', 'defense': '0'}, {'type_against': 'Flying', 'defense': 1}, {'type_against': 'Psychic', 'defense': 1}, {'type_against': 'Bug', 'defense': '¼'}, {'type_against': 'Rock', 'defense': '4'}, {'type_against': 'Ghost', 'defense': 1}, {'type_against': 'Dragon', 'defense': 1}, {'type_against': 'Dark', 'defense': 1}, {'type_against': 'Steel', 'defense': '½'}, {'type_against': 'Fairy', 'defense': '½'}]"
